TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
322.659802,3.234204767,22.44136861,-16.77689279,,31.699934,18.82908157
322.67975,3.124562035,22.53606006,-16.85164919,,31.71943,18.76334483
322.699647,3.129575633,22.67405886,-16.88348657,,31.742788,18.69738814
322.719377,3.139484231,22.81277923,-16.91321236,,31.762202,18.64304017
322.7414,3.232590832,22.97431805,-16.91475967,,31.780462,18.60789735
322.759752,3.313521817,23.10920303,-16.91475967,,31.79982,18.57171224
322.779735,3.470853767,23.22842615,-16.86290369,,31.819747,18.57473913
322.799279,3.630100069,23.34288442,-16.80816277,,31.839985,18.57978412
322.819266,3.86112381,23.42527619,-16.7153692,,31.862212,18.61148423
322.839645,4.101177193,23.50699649,-16.61832634,,31.880577,18.63855262
322.859667,4.404956062,23.55757356,-16.49106842,,31.89965,18.67252523
322.879864,4.71405312,23.60742792,-16.36144707,,31.919508,18.7082273
322.899682,5.039976633,23.62430661,-16.20215579,,31.942645,18.73570557
322.919505,5.367238393,23.639411,-16.04104231,,31.962013,18.75818154
322.941137,5.73336877,23.67584901,-15.81454435,,31.980726,18.79197091
322.959856,6.050484164,23.70802013,-15.61692172,,32.000236,18.8283498
322.979702,6.408858281,23.80068038,-15.33749117,,32.019595,18.88131667
322.999423,6.766332559,23.89634252,-15.05553963,,32.039937,18.93782222
323.019753,7.094431155,24.04512207,-14.71581631,,32.062008,18.8823358
323.039619,7.413520312,24.19239399,-14.38199996,,32.080452,18.83237299
323.059917,7.666436655,24.35440761,-14.00769207,,32.099649,18.71304351
323.079749,7.909743615,24.51330195,-13.64024891,,32.119642,18.58541341
323.099682,8.054286647,24.60632713,-13.2746552,,32.142606,18.41549615
323.11946,8.193361963,24.69573269,-12.91206598,,32.162215,18.26963994
323.139701,8.250540965,24.72297317,-12.56394608,,32.180616,18.08113018
323.1613,8.307111122,24.74868687,-12.19366869,,32.199921,17.87925459
323.179705,8.319106555,24.66348772,-11.85603023,,32.219543,17.72920852
323.19948,8.329514724,24.56461012,-11.49174433,,32.23998,17.57564308
323.219315,8.358321354,24.44199436,-11.14434388,,32.261971,17.38197069
